,date_oil,area_unique,oil_price,oil_unique
126,2022-05-07,a-1,1980.25,o-01
127,2022-05-08,a-1,1985.24,o-01
128,2022-05-09,a-1,1988.39,o-01
129,2022-05-10,a-1,2001.4,o-01
130,2022-05-11,a-1,2005.08,o-01
131,2022-05-12,a-1,2007.7,o-01
132,2022-05-13,a-1,2011.76,o-01
133,2022-05-14,a-1,2013.97,o-01
134,2022-05-15,a-1,2015.13,o-01
135,2022-05-16,a-1,2017.91,o-01
136,2022-05-17,a-1,2024.18,o-01
137,2022-05-18,a-1,2027.23,o-01
138,2022-05-19,a-1,2032.59,o-01
139,2022-05-20,a-1,2040.76,o-01
140,2022-05-21,a-1,2047.1,o-01
141,2022-05-22,a-1,2049.09,o-01
142,2022-05-23,a-1,2054.48,o-01
143,2022-05-24,a-1,2066.46,o-01
144,2022-05-25,a-1,2072.72,o-01
145,2022-05-26,a-1,2077.14,o-01
146,2022-05-27,a-1,2080.33,o-01
147,2022-05-28,a-1,2082.03,o-01
148,2022-05-29,a-1,2083.37,o-01
149,2022-05-30,a-1,2086.09,o-01
150,2022-05-31,a-1,2088.7,o-01
151,2022-06-01,a-1,2087.46,o-01
152,2022-06-02,a-1,2090.26,o-01
153,2022-06-03,a-1,2092.42,o-01
154,2022-06-04,a-1,2093.3,o-01
155,2022-06-05,a-1,2096.7,o-01
156,2022-06-06,a-1,2102.28,o-01
157,2022-06-07,a-1,2105.6,o-01
158,2022-06-08,a-1,2112.39,o-01
159,2022-06-09,a-1,2119.27,o-01
160,2022-06-10,a-1,2128.4,o-01
161,2022-06-11,a-1,2129.47,o-01
162,2022-06-12,a-1,2132.46,o-01
163,2022-06-13,a-1,2140.8,o-01
164,2022-06-14,a-1,2149.69,o-01
165,2022-06-15,a-1,2155.02,o-01
166,2022-06-16,a-1,2159.03,o-01
167,2022-06-17,a-1,2164.53,o-01
168,2022-06-18,a-1,2166.06,o-01
169,2022-06-19,a-1,2167.56,o-01
170,2022-06-20,a-1,2172.67,o-01
171,2022-06-21,a-1,2180.32,o-01
172,2022-06-22,a-1,2184.91,o-01
173,2022-06-23,a-1,2189.64,o-01
174,2022-06-24,a-1,2196.35,o-01
175,2022-06-25,a-1,2196.11,o-01
176,2022-06-26,a-1,2198.5,o-01
177,2022-06-27,a-1,2204.9,o-01
178,2022-06-28,a-1,2207.28,o-01
179,2022-06-29,a-1,2209.87,o-01
180,2022-06-30,a-1,2212.5,o-01
181,2022-07-01,a-1,2182.04,o-01
182,2022-07-02,a-1,2174.66,o-01
183,2022-07-03,a-1,2173.59,o-01
184,2022-07-04,a-1,2172.08,o-01
185,2022-07-05,a-1,2167.66,o-01
186,2022-07-06,a-1,2164.72,o-01
187,2022-07-07,a-1,2160.96,o-01
188,2022-07-08,a-1,2151.97,o-01
189,2022-07-09,a-1,2144.32,o-01
190,2022-07-10,a-1,2142.8,o-01
191,2022-07-11,a-1,2143.12,o-01
192,2022-07-12,a-1,2135.53,o-01
193,2022-07-13,a-1,2127.18,o-01
194,2022-07-14,a-1,2115.67,o-01
195,2022-07-15,a-1,2103.15,o-01
196,2022-07-16,a-1,2091.21,o-01
197,2022-07-17,a-1,2086.71,o-01
198,2022-07-18,a-1,2084.01,o-01
199,2022-07-19,a-1,2066.93,o-01
200,2022-07-20,a-1,2055.3,o-01
201,2022-07-21,a-1,2041.53,o-01
202,2022-07-22,a-1,2030.78,o-01
203,2022-07-23,a-1,2015.83,o-01
204,2022-07-24,a-1,2011.29,o-01
205,2022-07-25,a-1,2005.01,o-01
206,2022-07-26,a-1,1993.42,o-01
207,2022-07-27,a-1,1984.9,o-01
208,2022-07-28,a-1,1973.8,o-01
209,2022-07-29,a-1,1963.68,o-01
210,2022-07-30,a-1,1954.49,o-01
211,2022-07-31,a-1,1952.13,o-01
212,2022-08-01,a-1,1949.09,o-01
213,2022-08-02,a-1,1945.14,o-01
214,2022-08-03,a-1,1937.29,o-01
215,2022-08-04,a-1,1925.23,o-01
216,2022-08-05,a-1,1918.3,o-01
217,2022-08-06,a-1,1911.12,o-01
218,2022-08-07,a-1,1909.09,o-01
219,2022-08-08,a-1,1906.91,o-01
220,2022-08-09,a-1,1894.3,o-01
221,2022-08-10,a-1,1884.64,o-01
222,2022-08-11,a-1,1875.29,o-01
223,2022-08-12,a-1,1867.3,o-01
224,2022-08-13,a-1,1860.22,o-01
225,2022-08-14,a-1,1857.12,o-01
226,2022-08-15,a-1,1854.81,o-01
227,2022-08-16,a-1,1849.65,o-01
228,2022-08-17,a-1,1840.96,o-01
229,2022-08-18,a-1,1835.11,o-01
230,2022-08-19,a-1,1829.17,o-01
231,2022-08-20,a-1,1824.14,o-01
232,2022-08-21,a-1,1823.44,o-01
233,2022-08-22,a-1,1819.7,o-01
234,2022-08-23,a-1,1814.9,o-01
235,2022-08-24,a-1,1813.08,o-01
236,2022-08-25,a-1,1811.64,o-01
237,2022-08-26,a-1,1810.73,o-01
238,2022-08-27,a-1,1807.99,o-01
239,2022-08-28,a-1,1808.1,o-01
240,2022-08-29,a-1,1810.59,o-01
241,2022-08-30,a-1,1812.34,o-01
242,2022-08-31,a-1,1814.37,o-01
243,2022-09-01,a-1,1814.83,o-01
244,2022-09-02,a-1,1815.12,o-01
245,2022-09-03,a-1,1812.73,o-01
246,2022-09-04,a-1,1812.83,o-01
247,2022-09-05,a-1,1816.09,o-01
248,2022-09-06,a-1,1814.95,o-01
249,2022-09-07,a-1,1813.2,o-01
250,2022-09-08,a-1,1813.47,o-01
251,2022-09-09,a-1,1812.2,o-01
252,2022-09-10,a-1,1811.88,o-01
253,2022-09-11,a-1,1811.99,o-01
254,2022-09-12,a-1,1811.68,o-01
255,2022-09-13,a-1,1812.14,o-01
256,2022-09-14,a-1,1810.73,o-01
257,2022-09-15,a-1,1809.78,o-01
258,2022-09-16,a-1,1808.54,o-01
259,2022-09-17,a-1,1804.56,o-01
260,2022-09-18,a-1,1803.79,o-01
261,2022-09-19,a-1,1804.75,o-01
262,2022-09-20,a-1,1801.06,o-01
263,2022-09-21,a-1,1797.6,o-01
264,2022-09-22,a-1,1793.22,o-01
265,2022-09-23,a-1,1788.31,o-01
266,2022-09-24,a-1,1782.72,o-01
267,2022-09-25,a-1,1780.35,o-01
268,2022-09-26,a-1,1780.59,o-01
269,2022-09-27,a-1,1773.54,o-01
270,2022-09-28,a-1,1767.21,o-01
271,2022-09-29,a-1,1762.35,o-01
272,2022-09-30,a-1,1756.6,o-01
273,2022-10-01,a-1,1750.37,o-01
274,2022-10-02,a-1,1749.23,o-01
275,2022-10-03,a-1,1750.01,o-01
276,2022-10-04,a-1,1745.73,o-01
277,2022-10-05,a-1,1741.92,o-01
278,2022-10-06,a-1,1737.98,o-01
279,2022-10-07,a-1,1735.55,o-01
280,2022-10-08,a-1,1734.51,o-01
281,2022-10-09,a-1,1734.82,o-01
282,2022-10-10,a-1,1736.63,o-01
283,2022-10-11,a-1,1737.83,o-01
284,2022-10-12,a-1,1738.39,o-01
285,2022-10-13,a-1,1738.7,o-01
286,2022-10-14,a-1,1738.31,o-01
287,2022-10-15,a-1,1736.2,o-01
288,2022-10-16,a-1,1736.95,o-01
289,2022-10-17,a-1,1738.41,o-01
290,2022-10-18,a-1,1738.33,o-01
291,2022-10-19,a-1,1738.44,o-01
292,2022-10-20,a-1,1738.64,o-01
293,2022-10-21,a-1,1737.05,o-01
294,2022-10-22,a-1,1734.84,o-01
295,2022-10-23,a-1,1734.42,o-01
296,2022-10-24,a-1,1736.94,o-01
297,2022-10-25,a-1,1735.22,o-01
298,2022-10-26,a-1,1734.05,o-01
299,2022-10-27,a-1,1733.35,o-01
300,2022-10-28,a-1,1732.72,o-01
301,2022-10-29,a-1,1730.45,o-01
302,2022-10-30,a-1,1730.06,o-01
303,2022-10-31,a-1,1731.37,o-01
304,2022-11-01,a-1,1730.6,o-01
305,2022-11-02,a-1,1729.28,o-01
306,2022-11-03,a-1,1728.37,o-01
307,2022-11-04,a-1,1727.94,o-01
308,2022-11-05,a-1,1725.44,o-01
309,2022-11-06,a-1,1725.48,o-01
310,2022-11-07,a-1,1727.88,o-01
311,2022-11-08,a-1,1728.58,o-01
312,2022-11-09,a-1,1728.97,o-01
313,2022-11-10,a-1,1728.84,o-01
314,2022-11-11,a-1,1728.78,o-01
315,2022-11-12,a-1,1726.47,o-01
316,2022-11-13,a-1,1726.85,o-01
317,2022-11-14,a-1,1728.22,o-01
318,2022-11-15,a-1,1727.2,o-01
319,2022-11-16,a-1,1726.02,o-01
320,2022-11-17,a-1,1725.29,o-01
321,2022-11-18,a-1,1723.47,o-01
322,2022-11-19,a-1,1718.37,o-01
323,2022-11-20,a-1,1717.76,o-01
324,2022-11-21,a-1,1717.77,o-01
325,2022-11-22,a-1,1713.54,o-01
326,2022-11-23,a-1,1709.75,o-01
327,2022-11-24,a-1,1706.46,o-01
328,2022-11-25,a-1,1703.83,o-01
329,2022-11-26,a-1,1701.74,o-01
330,2022-11-27,a-1,1701.23,o-01
331,2022-11-28,a-1,1702.53,o-01
332,2022-11-29,a-1,1702.15,o-01
333,2022-11-30,a-1,1701.39,o-01
334,2022-12-01,a-1,1703.66,o-01
335,2022-12-02,a-1,1705.42,o-01
336,2022-12-03,a-1,1705.77,o-01
337,2022-12-04,a-1,1705.43,o-01
338,2022-12-05,a-1,1703.59,o-01
339,2022-12-06,a-1,1702.57,o-01
340,2022-12-07,a-1,1695.96,o-01
341,2022-12-08,a-1,1691.35,o-01
342,2022-12-09,a-1,1683.82,o-01
343,2022-12-10,a-1,1677.79,o-01
344,2022-12-11,a-1,1675.55,o-01
345,2022-12-12,a-1,1670.63,o-01
346,2022-12-13,a-1,1653.37,o-01
347,2022-12-14,a-1,1643.26,o-01
348,2022-12-15,a-1,1637.71,o-01
349,2022-12-16,a-1,1633.8,o-01
350,2022-12-17,a-1,1626.95,o-01
351,2022-12-18,a-1,1624.94,o-01
352,2022-12-19,a-1,1625.0,o-01
353,2022-12-20,a-1,1621.13,o-01
354,2022-12-21,a-1,1618.24,o-01
355,2022-12-22,a-1,1615.83,o-01
356,2022-12-23,a-1,1614.38,o-01
357,2022-12-24,a-1,1613.37,o-01
358,2022-12-25,a-1,1613.13,o-01
359,2022-12-26,a-1,1613.17,o-01
360,2022-12-27,a-1,1612.14,o-01
361,2022-12-28,a-1,1612.77,o-01
362,2022-12-29,a-1,1611.99,o-01
363,2022-12-30,a-1,1613.1,o-01
364,2022-12-31,a-1,1616.11,o-01
365,2022-01-01,a-2,1593.62,o-01
366,2022-01-02,a-2,1593.43,o-01
367,2022-01-03,a-2,1593.26,o-01
368,2022-01-04,a-2,1592.42,o-01
369,2022-01-05,a-2,1592.28,o-01
370,2022-01-06,a-2,1591.94,o-01
371,2022-01-07,a-2,1592.24,o-01
372,2022-01-08,a-2,1592.76,o-01
373,2022-01-09,a-2,1592.53,o-01
374,2022-01-10,a-2,1592.88,o-01
375,2022-01-11,a-2,1593.03,o-01
376,2022-01-12,a-2,1593.84,o-01
377,2022-01-13,a-2,1599.65,o-01
378,2022-01-14,a-2,1604.95,o-01
379,2022-01-15,a-2,1608.52,o-01
380,2022-01-16,a-2,1610.27,o-01
381,2022-01-17,a-2,1612.48,o-01
382,2022-01-18,a-2,1614.86,o-01
383,2022-01-19,a-2,1617.15,o-01
384,2022-01-20,a-2,1619.74,o-01
385,2022-01-21,a-2,1622.3,o-01
386,2022-01-22,a-2,1624.59,o-01
387,2022-01-23,a-2,1624.86,o-01
388,2022-01-24,a-2,1625.7,o-01
389,2022-01-25,a-2,1627.75,o-01
390,2022-01-26,a-2,1628.89,o-01
391,2022-01-27,a-2,1632.13,o-01
392,2022-01-28,a-2,1634.15,o-01
393,2022-01-29,a-2,1636.83,o-01
394,2022-01-30,a-2,1638.23,o-01
395,2022-01-31,a-2,1638.68,o-01
396,2022-02-01,a-2,1638.64,o-01
397,2022-02-02,a-2,1638.96,o-01
398,2022-02-03,a-2,1641.43,o-01
399,2022-02-04,a-2,1644.89,o-01
400,2022-02-05,a-2,1650.75,o-01
401,2022-02-06,a-2,1653.82,o-01
402,2022-02-07,a-2,1656.81,o-01
403,2022-02-08,a-2,1661.6,o-01
404,2022-02-09,a-2,1667.58,o-01
405,2022-02-10,a-2,1672.8,o-01
406,2022-02-11,a-2,1675.92,o-01
407,2022-02-12,a-2,1678.48,o-01
408,2022-02-13,a-2,1680.02,o-01
409,2022-02-14,a-2,1681.63,o-01
410,2022-02-15,a-2,1686.44,o-01
411,2022-02-16,a-2,1692.54,o-01
412,2022-02-17,a-2,1696.98,o-01
413,2022-02-18,a-2,1699.61,o-01
414,2022-02-19,a-2,1702.07,o-01
415,2022-02-20,a-2,1703.6,o-01
416,2022-02-21,a-2,1705.98,o-01
417,2022-02-22,a-2,1709.47,o-01
418,2022-02-23,a-2,1712.06,o-01
419,2022-02-24,a-2,1716.21,o-01
420,2022-02-25,a-2,1722.06,o-01
421,2022-02-26,a-2,1726.9,o-01
422,2022-02-27,a-2,1727.91,o-01
423,2022-02-28,a-2,1730.18,o-01
424,2022-03-01,a-2,1734.51,o-01
425,2022-03-02,a-2,1737.72,o-01
426,2022-03-03,a-2,1749.39,o-01
427,2022-03-04,a-2,1764.44,o-01
428,2022-03-05,a-2,1777.52,o-01
429,2022-03-06,a-2,1784.42,o-01
430,2022-03-07,a-2,1810.33,o-01
431,2022-03-08,a-2,1885.77,o-01
432,2022-03-09,a-2,1925.82,o-01
433,2022-03-10,a-2,1934.65,o-01
434,2022-03-11,a-2,1954.34,o-01
435,2022-03-12,a-2,1968.54,o-01
436,2022-03-13,a-2,1977.41,o-01
437,2022-03-14,a-2,1993.4,o-01
438,2022-03-15,a-2,2003.95,o-01
439,2022-03-16,a-2,2007.74,o-01
440,2022-03-17,a-2,2006.99,o-01
441,2022-03-18,a-2,2002.63,o-01
442,2022-03-19,a-2,2001.63,o-01
443,2022-03-20,a-2,2000.66,o-01
444,2022-03-21,a-2,2000.13,o-01
445,2022-03-22,a-2,1995.45,o-01
446,2022-03-23,a-2,1993.2,o-01
447,2022-03-24,a-2,1992.44,o-01
448,2022-03-25,a-2,1990.83,o-01
449,2022-03-26,a-2,1988.56,o-01
450,2022-03-27,a-2,1988.52,o-01
451,2022-03-28,a-2,1988.92,o-01
452,2022-03-29,a-2,1987.75,o-01
453,2022-03-30,a-2,1985.72,o-01
454,2022-03-31,a-2,1984.41,o-01
455,2022-04-01,a-2,1980.97,o-01
456,2022-04-02,a-2,1979.85,o-01
457,2022-04-03,a-2,1979.43,o-01
458,2022-04-04,a-2,1977.6,o-01
459,2022-04-05,a-2,1976.0,o-01
460,2022-04-06,a-2,1973.34,o-01
461,2022-04-07,a-2,1969.39,o-01
462,2022-04-08,a-2,1967.12,o-01
463,2022-04-09,a-2,1965.19,o-01
464,2022-04-10,a-2,1964.99,o-01
465,2022-04-11,a-2,1963.56,o-01
466,2022-04-12,a-2,1958.4,o-01
467,2022-04-13,a-2,1954.14,o-01
468,2022-04-14,a-2,1950.29,o-01
469,2022-04-15,a-2,1948.45,o-01
470,2022-04-16,a-2,1947.22,o-01
471,2022-04-17,a-2,1946.64,o-01
472,2022-04-18,a-2,1946.31,o-01
473,2022-04-19,a-2,1946.31,o-01
474,2022-04-20,a-2,1945.96,o-01
475,2022-04-21,a-2,1946.01,o-01
476,2022-04-22,a-2,1946.39,o-01
477,2022-04-23,a-2,1946.74,o-01
478,2022-04-24,a-2,1947.0,o-01
479,2022-04-25,a-2,1947.36,o-01
480,2022-04-26,a-2,1947.78,o-01
481,2022-04-27,a-2,1948.95,o-01
482,2022-04-28,a-2,1951.34,o-01
483,2022-04-29,a-2,1955.12,o-01
484,2022-04-30,a-2,1958.74,o-01
485,2022-05-01,a-2,1931.61,o-01
486,2022-05-02,a-2,1919.19,o-01
487,2022-05-03,a-2,1911.21,o-01
488,2022-05-04,a-2,1907.4,o-01
489,2022-05-05,a-2,1904.83,o-01
490,2022-05-06,a-2,1906.17,o-01
491,2022-05-07,a-2,1908.2,o-01
492,2022-05-08,a-2,1910.84,o-01
493,2022-05-09,a-2,1912.9,o-01
494,2022-05-10,a-2,1917.99,o-01
495,2022-05-11,a-2,1924.57,o-01
496,2022-05-12,a-2,1928.69,o-01
497,2022-05-13,a-2,1931.56,o-01
498,2022-05-14,a-2,1933.44,o-01
499,2022-05-15,a-2,1934.07,o-01
500,2022-05-16,a-2,1936.04,o-01
501,2022-05-17,a-2,1940.35,o-01
502,2022-05-18,a-2,1945.32,o-01
503,2022-05-19,a-2,1949.63,o-01
504,2022-05-20,a-2,1956.24,o-01
505,2022-05-21,a-2,1962.51,o-01
506,2022-05-22,a-2,1964.19,o-01
507,2022-05-23,a-2,1967.11,o-01
508,2022-05-24,a-2,1972.72,o-01
509,2022-05-25,a-2,1975.27,o-01
510,2022-05-26,a-2,1985.68,o-01
511,2022-05-27,a-2,1991.36,o-01
512,2022-05-28,a-2,1994.63,o-01
513,2022-05-29,a-2,1994.57,o-01
514,2022-05-30,a-2,1996.08,o-01
515,2022-05-31,a-2,1998.96,o-01
516,2022-06-01,a-2,2000.56,o-01
517,2022-06-02,a-2,2006.86,o-01
518,2022-06-03,a-2,2012.16,o-01
519,2022-06-04,a-2,2016.16,o-01
520,2022-06-05,a-2,2017.88,o-01
521,2022-06-06,a-2,2019.31,o-01
522,2022-06-07,a-2,2022.23,o-01
523,2022-06-08,a-2,2025.41,o-01
524,2022-06-09,a-2,2028.93,o-01
525,2022-06-10,a-2,2045.52,o-01
526,2022-06-11,a-2,2056.27,o-01
527,2022-06-12,a-2,2058.76,o-01
528,2022-06-13,a-2,2062.62,o-01
529,2022-06-14,a-2,2065.65,o-01
530,2022-06-15,a-2,2068.35,o-01
531,2022-06-16,a-2,2072.05,o-01
532,2022-06-17,a-2,2077.94,o-01
533,2022-06-18,a-2,2083.15,o-01
534,2022-06-19,a-2,2084.27,o-01
535,2022-06-20,a-2,2088.62,o-01
536,2022-06-21,a-2,2092.76,o-01
537,2022-06-22,a-2,2096.8,o-01
538,2022-06-23,a-2,2102.82,o-01
539,2022-06-24,a-2,2106.71,o-01
540,2022-06-25,a-2,2108.66,o-01
541,2022-06-26,a-2,2110.21,o-01
542,2022-06-27,a-2,2112.14,o-01
543,2022-06-28,a-2,2114.97,o-01
544,2022-06-29,a-2,2120.76,o-01
545,2022-06-30,a-2,2127.53,o-01
546,2022-07-01,a-2,2107.76,o-01
547,2022-07-02,a-2,2104.87,o-01
548,2022-07-03,a-2,2103.69,o-01
549,2022-07-04,a-2,2102.3,o-01
550,2022-07-05,a-2,2100.26,o-01
551,2022-07-06,a-2,2095.33,o-01
552,2022-07-07,a-2,2089.0,o-01
553,2022-07-08,a-2,2083.62,o-01
554,2022-07-09,a-2,2080.4,o-01
555,2022-07-10,a-2,2079.04,o-01
556,2022-07-11,a-2,2069.57,o-01
557,2022-07-12,a-2,2055.91,o-01
558,2022-07-13,a-2,2043.33,o-01
559,2022-07-14,a-2,2031.81,o-01
560,2022-07-15,a-2,2018.06,o-01
561,2022-07-16,a-2,2010.89,o-01
562,2022-07-17,a-2,2007.63,o-01
563,2022-07-18,a-2,2002.47,o-01
564,2022-07-19,a-2,1986.09,o-01
565,2022-07-20,a-2,1968.93,o-01
566,2022-07-21,a-2,1959.37,o-01
567,2022-07-22,a-2,1947.1,o-01
568,2022-07-23,a-2,1934.2,o-01
569,2022-07-24,a-2,1930.97,o-01
570,2022-07-25,a-2,1925.03,o-01
571,2022-07-26,a-2,1909.85,o-01
572,2022-07-27,a-2,1897.98,o-01
573,2022-07-28,a-2,1889.62,o-01
574,2022-07-29,a-2,1881.49,o-01
575,2022-07-30,a-2,1876.91,o-01
576,2022-07-31,a-2,1873.63,o-01
577,2022-08-01,a-2,1868.36,o-01
578,2022-08-02,a-2,1860.22,o-01
579,2022-08-03,a-2,1848.92,o-01
580,2022-08-04,a-2,1838.02,o-01
581,2022-08-05,a-2,1831.07,o-01
582,2022-08-06,a-2,1825.27,o-01
583,2022-08-07,a-2,1823.2,o-01
584,2022-08-08,a-2,1813.13,o-01
585,2022-08-09,a-2,1803.06,o-01
586,2022-08-10,a-2,1792.5,o-01
587,2022-08-11,a-2,1781.98,o-01
588,2022-08-12,a-2,1774.67,o-01
589,2022-08-13,a-2,1766.71,o-01
590,2022-08-14,a-2,1764.48,o-01
591,2022-08-15,a-2,1759.92,o-01
592,2022-08-16,a-2,1753.12,o-01
593,2022-08-17,a-2,1743.41,o-01
594,2022-08-18,a-2,1736.24,o-01
595,2022-08-19,a-2,1730.15,o-01
596,2022-08-20,a-2,1727.14,o-01
597,2022-08-21,a-2,1726.6,o-01
598,2022-08-22,a-2,1720.33,o-01
599,2022-08-23,a-2,1715.1,o-01
600,2022-08-24,a-2,1714.06,o-01
601,2022-08-25,a-2,1713.85,o-01
602,2022-08-26,a-2,1713.5,o-01
